"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"XRCC4"	10.14155	14.24226	35.34305	426.3234
"RABEPK"	4844.461	5343.87	3696.485	4293.128
"PMS2L5"	857.0591	588.5884	514.8922	424.995
"PANK1"	87.58109	56.55064	77.17896	100.0316
"YIPF7"	24.65627	15.52526	9.593155	42.80948
"SEPT3"	208.7513	207.6806	211.5504	252.1277
"TNFRSF7"	94.99412	83.06845	59.42421	105.056
"PLAGL1"	42.20671	33.65915	45.97089	71.82674
"TACSTD1"	30.37153	26.80498	15.75278	41.49363
"OR10AG1"	8.476336	3.584117	14.43039	36.08024
"LOC388886"	227.3469	316.4623	128.5482	193.5033
"ATP9A"	37.31644	30.92566	14.57482	53.53966
"LY6H"	7.873533	0.7432288	-0.886858	38.17848
"ASPM"	559.3489	132.0948	3796.5	2150.768
"TNT"	9.722135	17.05042	5.489675	30.16614
"AP3M1"	414.1601	557.4762	649.7426	687.0344
"LOC340843"	66.72176	31.76322	165.3893	179.4833
"CCM2"	2766.854	2334.765	1850.776	2488.814
"LOC440131"	55.52531	44.89365	43.21912	79.41055
"S100A5"	39.37758	34.15129	18.94549	57.92182
"ASB18"	75.84811	69.83824	31.68604	73.93703
"C17orf76"	86.72023	67.3351	38.56823	114.55
"LOC387758"	7.790778	6.060292	1.1903	61.29012
"F7"	15.28214	10.12019	2.855975	35.61777
"FLJ37357"	0.05569928	14.09758	-0.05023669	24.07128
"ALPL"	123.2321	97.97037	85.56264	116.6512
"CDKN3"	129.7928	203.7997	238.811	155.601
"DCUN1D1"	183.1455	95.52081	759.9785	876.62
"LMNB1"	22.92191	20.45162	17.57971	43.25695
"PIP5KL1"	45.05251	62.0668	25.86302	44.58814
"ARL6IP"	6913.557	5655.863	5905.767	7677.903
"SWAP70"	903.948	1113.007	1872.765	2230.466
"LOC139886"	51.71453	70.02482	320.5229	350.6346
"TNFRSF10C"	34.4156	44.91317	23.01401	54.37377
"C14orf169"	938.6413	903.5516	733.3763	793.8139
"PRX"	28.49272	26.76978	20.04394	47.78762
"MAML2"	18.01503	21.98051	9.31507	50.60855
"FMNL1"	38.83824	39.8434	12.36993	52.86645
"IRF7"	1280.111	1014.977	438.8523	955.7859
"IGF2BP1"	10.63882	24.21234	15.20916	60.49602
"RABGEF1"	745.4337	932.4612	827.4133	947.2219
"NOC4L"	170.4158	162.7972	60.83318	95.61942
"RNASET2"	7401.869	6203.612	4699.844	4009.758
"MYST2"	68.72638	49.94556	35.44007	52.63769
"QKI"	37.38807	24.84112	64.21452	84.14365
"DKK3"	12443.35	9978.631	11045.25	13516.7
"HEBP1"	6714.139	4888.435	4430.483	2923.76
"ASIP"	25.719	26.44984	21.84991	41.85228
"FIGF"	12.23218	12.37391	3.089826	42.34387
"CSMD2"	113.6824	156.6253	120.9731	238.9231
"SR-A1"	148.819	130.0974	82.62065	111.1433
"ARF5"	2325.479	2182.498	1024.477	1041.752
"FAM84A"	9.636389	10.49856	5.023159	35.97967
"CNDP2"	8625.859	6283.37	6744.666	6893.187
"KLHL5"	8500.417	7280.422	12252.15	7784.981
"DNAI1"	15.13543	19.40384	7.038105	38.94189
"RTDR1"	18.82117	21.9525	5.951952	32.02565
"UGT1A9"	28.97465	44.47615	24.0377	63.64469
"C14orf124"	46.85975	74.27254	9.731695	44.31438
"C20orf116"	3988.983	3824.639	2361.48	2405.695
"NUP37"	2760.317	3372.121	2035.162	1923.321
"OR6C2"	20.23689	12.38321	-0.7380467	41.08474
"MAB21L2"	61.3909	54.08568	35.31902	80.41732
"ARHGEF18"	4216.415	2403.782	3242.35	3520.898
"ACSL3"	89.47958	52.53577	323.7363	366.6527
"KIAA0143"	1643.834	2042.667	3337.72	4506.329
"IRGC"	1.482463	6.306078	-3.951494	24.18079
"C14orf152"	26.83604	45.55175	15.56513	28.23229
"NOTCH1"	690.2925	266.2014	576.1182	577.1665
"FBXL15"	1510.213	1821.904	612.5928	570.6443
"FLJ21827"	763.1743	1070.808	386.5557	503.5465
"TCP1"	2074.119	2266.141	3407.113	3692.225
"C9orf4"	60.33604	63.58364	52.6879	73.46351
"HMGCS2"	10.9319	13.33728	0.745916	35.23508
"ABHD4"	1090.126	1418.632	339.8331	497.7717
"PRKG2"	2.538597	22.2759	5.307586	39.01874
"LOC606495"	127.5643	148.1163	40.75016	57.23339
"LRP10"	8588.404	6029.443	6071.402	7255.071
"GALR2"	22.75976	15.57316	-1.761988	37.79993
"MRPS36"	96.80968	98.65855	449.5666	435.9572
"SERPINB8"	774.6829	1184.048	328.3327	363.9132
"HNRPUL1"	1108.661	980.0886	768.0837	976.9694
"raptor"	13.8879	7.001536	-2.416473	32.78895
"GNAT2"	14.25304	41.96964	9.345195	44.27835
"CES1"	26.86228	29.22802	0.08595096	46.57045
"MAGEA1"	33.541	11.3031	24.73696	45.64991
"HS6ST2"	8.273475	11.32367	46.42551	64.26839
"PPYR1"	15.70706	14.15458	1.562287	38.96642
"TMEM16G"	-1.870738	7.920431	-6.696014	37.0328
"SLC10A3"	1187.326	2229.179	450.8378	825.0013
"LOC93349"	108.0449	98.43295	79.39364	61.70118
"WHSC2"	132.3693	125.9915	75.67356	87.93924
"HCRTR2"	41.92587	45.8632	37.54461	38.81169
"MMD"	3094.605	6088.862	4387.998	11940.61
"BRSK1"	118.2971	104.0561	66.31621	90.6331
"SLC2A1"	158.2474	206.132	102.9894	139.4476
"IL28A"	17.73659	9.847037	3.584491	36.12807
"ARFGAP1"	1272.496	1205.562	441.0494	883.3195
"POLR2J"	324.6663	347.0503	146.6378	160.041
"PRKAB2"	432.5807	769.2454	452.386	760.6927
"CFL2"	29.43571	36.15294	18.37553	35.66036
"H2AFZ"	9965.302	13051.08	11050.8	13417.17
"APRT"	4012.104	5008.78	2031.876	1861.698
"LUM"	3632.771	1997.144	12949.09	11707.86
"LTB4R"	93.42653	46.30747	83.62015	162.6734
"HBP1"	1488.198	1667.717	1869.667	2266.788
"FBN1"	145.5823	217.4416	141.4799	354.019
"OGN"	16.58542	16.64271	45.54862	66.84525
"IL12B"	35.23575	29.78301	26.81995	65.21152
"NAT1"	82.86044	83.9212	160.0003	246.6556
"FLJ16237"	16.50628	12.98009	-11.50276	20.96631
"APOC3"	58.94466	40.44536	28.99749	70.61216
"LOC440258"	39.50703	38.31316	29.93788	59.80037
"CCDC55"	113.8332	78.08054	372.0206	506.6615
"ERAL1"	2750.794	2771.497	1434.165	1480.993
"FOXP2"	14.95745	14.3228	7.537075	38.88639
"PTDSS1"	2820.897	2441.962	1191.574	1295.194
"LRRTM2"	22.91333	25.65516	13.93341	43.23953
"MRPS33"	2070.534	2073.736	1673.852	1533.531
"SMYD2"	607.8905	624.6036	435.4492	546.1067
"LRRC34"	25.63659	38.15619	114.781	125.42
"OTP"	43.86695	36.58282	38.69262	75.95857
"GP6"	26.38295	20.71132	18.51014	46.05951
"SPATA5L1"	438.3627	702.7918	392.4019	480.6903
"DDB2"	379.806	373.8847	209.2556	277.0661
"ZNF653"	642.2664	447.6728	407.4629	590.351
"NEDD1"	32.30769	12.03294	111.724	124.6413
"MYEOV2"	37.8832	31.61115	22.50981	56.06538
"OR5AC2"	0.9864412	3.472043	-6.050283	25.74124
"HKDC1"	616.6187	485.4707	636.7897	659.0965
"RNF148"	12.11631	27.51535	2.711313	26.90048
"LOC51333"	21.4352	21.70428	12.50954	47.9491
"MAP3K3"	158.1045	81.24491	47.50624	79.13804
"DOCK11"	354.9648	173.779	1893.913	1720.103
"HSMPP8"	437.7111	267.0689	879.2278	743.5142
"RAB11FIP4"	36.30321	32.10806	37.3134	50.55392
"C20orf185"	9.915044	15.2377	10.62666	51.251
"ZNF611"	2.530238	6.321033	18.34624	64.9846
"ANKRD41"	26.68061	22.72688	8.548018	39.51382
"ANK1"	34.40926	19.51894	18.44958	43.50019
"PRO0149"	770.8351	970.6965	985.3919	1165.51
"FLJ38159"	199.8643	224.2389	168.2543	145.0034
"PAPLN"	356.7736	282.3393	470.5352	354.4636
"WDR66"	98.02349	106.1723	64.92516	95.32827
"RPS15"	556.7436	703.0136	197.9018	250.4942
"VWA1"	23.42772	42.93616	2.998935	37.24477
"RKHD2"	446.4216	952.8369	1574.407	3216.876
"VEGFC"	2091.106	1246.836	2205.875	616.5377
"FAM109B"	351.3787	407.585	195.1098	348.7373
"GUCA1C"	22.74891	22.00599	26.14981	35.7702
"MYH1"	3.576046	10.29028	-9.662835	22.5795
"BAPX1"	609.5057	393.0793	362.4951	574.6552
"LOC399706"	7.273523	8.14625	-5.090218	27.31917
"MDH1"	14525.84	12877.67	11786.23	11795.02
"PRSS21"	130.0239	148.2309	50.54663	80.1515
"ODZ1"	233.5794	169.7105	147.719	188.564
"BMS1L"	1120.895	1303.411	2449.098	2849.878
"PIGA"	161.6071	247.3719	720.2678	683.9377
"ALK"	13.39508	20.50417	-0.7045083	30.31511
"HOOK1"	80.04009	44.07165	289.8643	273.2209
"SALF"	20.19108	21.285	13.07214	49.7202
"RAD51"	70.57272	74.0013	15.00533	40.99899
"GTF2E2"	5358.552	4970.12	4995.465	6159.265
"TROVE2"	29.01666	55.2689	192.6076	253.1345
"CFLAR"	1332.111	1156.751	1342.3	1966.724
"ANKRD15"	813.7383	1267.888	967.0959	1403.827
"FABP4"	34.70733	49.00412	16.13582	43.4715
"CYB561"	12.72937	11.86446	-7.760708	30.34318
"ERRFI1"	2592.908	1623.958	3489.115	2843.06
"PROKR1"	3.888413	-2.837477	2.223625	34.02942
"RTKN"	784.566	861.8616	356.9742	842.6973
"CD300LF"	56.3256	57.85182	33.27082	73.91738
"ZNF468"	152.969	170.878	340.4136	396.5061
"BLOC1S3"	9.829102	19.25934	0.196977	29.81532
"NRIP1"	299.4657	260.5132	1159.829	1754.218
"NKX3-1"	529.7451	1998.864	429.2081	1042.637
"IGLL1"	20.33292	27.48118	19.30489	45.66826
"FEZ2"	3803.111	4528.106	5548.627	5967.723
"HHLA1"	19.84202	31.72205	23.04102	37.06564
"PKIA"	160.0825	201.9665	285.4126	309.4073
"ASAHL"	336.7351	365.9663	155.6054	190.7793
"SERTAD2"	737.249	524.6549	817.217	803.6097
"AUTS2"	947.8236	1194.904	1249.643	2054.858
"BRP44L"	820.0983	1025.244	511.753	321.3243
"THEM5"	18.93405	13.63059	5.170566	57.4669
"EXDL2"	1273.454	1216.772	1058.301	1212.86
"IRX3"	39.19524	25.18619	41.62445	46.1867
"C1orf54"	925.2717	1315.504	542.3045	664.4069
"ODF4"	65.37402	38.62053	43.07979	75.11915
"ABHD3"	37.74202	49.57597	84.17344	107.9958
"ZDHHC14"	1702.564	1088.18	1619.191	741.872
"MRRF"	999.2597	908.6815	725.7746	813.0813
"LOC51334"	159.7803	91.10041	131.0933	120.0043
"MGC2408"	911.8788	1278.713	444.6329	538.3155
"FBXO38"	1236.463	968.3541	1255.046	1241.144
"ANKRD42"	26.19399	35.20498	75.84506	119.6589
"MYO1F"	19.75271	30.05663	-2.009587	28.74862
"CYP1A1"	37.97293	35.89137	15.05722	53.52011
"GNA13"	340.6287	420.646	925.8079	1191.562
"FAM73A"	65.38626	36.05613	429.2813	424.2767
"DKFZp666G057"	24.67653	35.57241	27.94651	61.21328
"ACRV1"	42.25774	34.54863	15.36151	52.4848
"KIAA1609"	162.3126	154.0243	63.21865	98.45712
"FLJ43374"	23.61591	16.34778	12.26404	46.80112
"NPEPL1"	2083.753	1389.266	1205.085	1264.262
"HTR3B"	180.0439	180.0993	349.0456	491.4938
"SKI"	101.8783	189.2407	86.17297	183.8503
"OR10Q1"	37.59469	31.34563	14.70411	53.71902
"RP1-32F7.2"	31.35854	20.33345	60.3082	89.98996
"STK23"	4.419838	15.71317	-6.952219	32.26382
"POLR3D"	129.5815	271.899	46.90337	105.6336
"GUSBL2"	345.4884	232.4827	238.0135	293.276
"MGC61571"	562.3622	567.7474	506.1114	451.1362
"FLJ37464"	157.7938	130.6761	156.7832	174.4828
"C6orf54"	14.76684	9.296298	9.891205	32.25113
"UBE2N"	1013.509	1295.556	2282.733	2297.128
"MAP3K7"	1462.952	1782.653	2816.134	3114.266
"TMED10"	474.6812	327.5906	730.6887	674.0954
"RFX2"	248.7114	509.071	238.4043	322.1098
"TIPARP"	448.2771	462.2933	600.1875	745.7348
"CCDC28A"	2868.813	3757.078	3180.293	3442.829
"LOC400986"	90.94855	56.60018	387.1786	429.824
"NMBR"	9.483928	10.0304	-3.209787	23.81019
"ACOX3"	911.2572	1447.69	564.2614	1330.951
"RAD51L3"	321.6442	566.8958	214.6087	125.6329
"CREG2"	70.952	65.00626	52.04724	92.46665
"NXF5"	6.896555	12.92397	0.1148732	27.12819
"TMEM51"	1845.137	2634.76	1729.188	2137.546
"ORC2L"	461.3297	421.4904	257.2951	463.5272
"CKAP4"	6782.588	4614.13	2859.853	3408.16
"DCP1B"	144.8884	171.1318	56.58698	74.83329
"PHOSPHO1"	25.28198	21.22206	0.07170957	42.31154
"IHPK2"	309.8779	337.6656	126.4785	182.9175
"TSC22D4"	7563.56	4076.375	5772.111	5548.091
"HLA-DQA2"	15.76565	24.0023	5.659261	40.88086
"IKBKE"	269.7144	214.7699	104.1941	101.5401
"PLSCR1"	466.3238	559.6093	956.3731	1062.207
"MMP10"	19.43309	166.3657	9.785861	378.9057
"IFNE1"	10.58905	33.04372	31.61232	165.6906
"GATA1"	24.61705	18.07994	-4.133797	41.28401
"SULT1C2"	22.52176	31.64101	10.20775	51.38401
"HIATL1"	622.5441	709.5518	622.427	612.6389
"POLR2J3"	3085.98	2090.366	2453.726	2649.504
"MNDA"	8.329058	2.603415	13.0336	337.47
"TEAD2"	3740.352	3239.719	2286.99	3948.343
"ARSE"	41.85147	54.69712	22.49831	48.39229
"DNAJA2"	4410.292	5161.725	5530.753	6056.082
"LETM2"	153.5476	71.77492	94.3239	43.18971
"FKBP7"	19.33487	21.66865	9.470462	55.67091
"SEC61B"	1844.236	2317.66	1435.823	1901.973
"TRIM62"	57.24787	70.14411	12.64623	56.12918
"C9orf138"	23.19531	17.02129	2.072885	41.23807
"ZNF557"	443.7218	522.0111	295.1373	446.3928
"PANK3"	348.0309	499.277	588.2523	635.6885
"KIAA2013"	1371.257	1268.284	592.5298	686.9594
"ADAM30"	291.6209	282.0633	247.4671	226.7946
"CATSPER4"	-1.519858	9.656019	-2.979101	28.98855
"MTRF1"	727.2768	737.6656	552.343	807.6667
"C4orf17"	8.695435	9.049873	-0.0342336	38.81185
"PPP1R3C"	1158.999	3527.916	1567.68	1697.161
"MYOM3"	10.05069	17.83274	8.387062	39.37946
"TAS2R10"	42.16975	29.96579	82.91978	135.5698
"SEC63D1"	14.37253	6.545775	5.76471	31.83824
"PHIP"	114.4882	11.48687	679.5363	624.2079
"ZNF688"	183.693	227.7359	68.78244	90.79929
"DCBLD2"	1135.547	1375.48	2000.255	2668.888
"CCNK"	1844.214	2050.233	1500.648	1898.16
"BXDC2"	1602.471	1626.196	2088.815	1783.029
"OR7G2"	28.89341	29.08136	15.15367	41.11827
"ADAMTSL1"	10.67574	11.09462	7.806736	25.81928
"BOLA2"	3447.675	5355.507	1613.549	2025.769
"GLT8D1"	707.3798	758.0037	678.6965	797.8088
"PKD2L1"	-7.807609	2.571292	-8.011643	27.58364
"FLJ38288"	29.47214	50.39743	62.81605	97.08596
"PERP"	4757.958	4774.661	5834.717	5721.622
"MORN3"	52.4922	55.61201	11.61969	54.91734
"LEPROTL1"	3111.02	3129.437	5061.508	4386.182
"FN1"	224.3847	329.2995	171.2442	314.7762
"TINF2"	3107.553	2791.473	1302.578	1597.372
"LYPD1"	78.8069	161.5568	60.5237	251.4662
"ZNF33A"	25.08832	21.85008	64.00803	99.20133
"HIST1H3H"	77.97698	56.05165	47.18063	68.36134
"FLJ42289"	26.0898	17.67523	0.4801753	50.07283
"MEFV"	7.668715	11.20501	-7.792986	25.16116
"GALR3"	13.9301	23.19664	-1.462736	47.444
"SSFA2"	75.22292	35.96658	129.2591	137.4029
"ZFP91"	308.6433	435.2718	167.3374	177.4219
"AP3B1"	2348.586	1792.453	2628.71	2970.333
"NOP5/NOP58"	380.4038	338.9352	1827.277	1856.401
"SPACA3"	6.823595	16.17377	-1.365947	24.55421
"PRND"	-0.6456185	7.276577	4.749185	22.53702
"IL28B"	5.940485	-1.495334	-0.9645284	21.24297
"S100A7L1"	21.86639	25.13947	8.265175	44.50874
"POU6F2"	73.07279	92.35884	18.44718	57.33809
"APBA3"	1642.179	1610.193	724.0378	979.7105
"FLJ10260"	545.2433	874.8479	1095.364	1018.333
"NAGK"	4888.09	5329.363	3276.485	4712.452
"ABCC10"	402.7353	389.8468	181.8324	249.4988
"C10orf132"	13.55468	8.281542	-0.2402437	37.06288
"E2F7"	30.92953	40.1864	18.32196	83.58364
"PBK"	48.81708	68.59537	183.8742	35.44532
"SHC3"	388.1199	282.1151	246.4523	325.202
"LRRC4C"	38.88191	171.0282	28.51578	307.0243
"TREH"	7.052242	15.80323	-1.828742	39.59243
"XPC"	1783.913	1419.896	1540.124	1808.519
"UROS"	9578.601	8146.177	4952.766	5281.648
"OLFM4"	15.75705	18.11445	-5.859444	38.31755
"RABL4"	568.1417	783.5444	246.9611	325.6045
"ZMYND12"	321.398	319.5766	260.0728	203.171
"RAI14"	2589.762	2816.091	4819.365	8908.379
"LHX9"	16.8189	8.619128	2.234736	38.7213
"TBC1D21"	9.859185	10.6117	-3.637822	27.73866
"C1orf160"	1003.71	1494.681	531.4019	544.6188
"HNRPLL"	454.4022	654.0228	666.1532	870.6574
"C6orf208"	7.474998	14.10612	5.111294	30.01251
"WBSCR17"	9.974463	15.00109	19.13638	42.34029
"ZNF551"	36.15056	58.67038	51.24286	106.2159
"KRT3"	123.1078	98.07742	83.32891	126.3056
"BARX1"	337.0502	381.3619	156.3867	132.2908
"PDIA4"	3504.965	2164.809	1843.983	2382.614
"PSENEN"	909.8678	2255.342	447.3481	593.3906
"KRT2B"	13.08542	9.998655	0.2104795	40.66788
"FLJ21125"	412.4914	278.5253	287.4601	321.4668
"EIF5A2"	159.74	84.68663	832.8591	739.2789
"HS747E2A"	18.84814	13.39411	32.28834	33.49435
"DDX55"	791.6415	879.4933	824.8892	925.204
"KRTAP20-2"	18.11035	11.20912	8.430627	55.07467
"MYH14"	111.1076	101.761	61.14781	111.1115
"GNB3"	92.33992	73.67079	72.11057	129.0716
"SPRR2A"	23.23801	14.901	1.008752	51.6621
"FLJ45850"	148.1091	140.0202	67.39528	128.8904
"FLJ21963"	66.32887	50.89956	26.19952	74.99959
"FLJ46363"	0.3822568	0.05488334	-9.450995	36.03192
"FBXW5"	506.1147	464.6534	221.1577	235.9377
"LRRC10"	7.688836	12.53746	-5.036675	24.39082
"OSBPL7"	323.8843	323.4681	261.9478	318.89
"TMPRSS11A"	9.770529	3.563024	-7.164852	26.90222
"LOC133957"	3091.33	2814.559	1559.193	1275.21
"FLJ45139"	17.86354	22.00195	7.590307	42.85194
"ZNF134"	562.5339	553.2815	483.3004	521.9121
"APC2"	48.40689	41.61258	26.74985	60.93295
"TMC7"	15.77403	48.78128	1.194761	58.62578
"ANKRD6"	120.8714	147.0132	71.60104	170.5861
"FLJ40125"	10.44703	17.54703	2.149144	43.04478
"OR52K1"	16.96928	14.51876	9.027458	39.57116
"MYEOV"	16.30472	22.53741	17.00561	44.25344
"OR8A1"	6.121957	7.375687	-3.383787	43.47508
"SGPP2"	40.29204	28.55511	25.6217	51.71124
"KYNU"	17.25988	27.88328	14.56448	39.04946
"MYH7"	32.16351	22.60042	10.35132	40.95234
"LOC138046"	-5.1663	2.822114	-1.770691	22.48989
"PEA15"	19985.36	13783.86	14824.29	19465.12
"REEP3"	31.90861	27.82543	103.5531	136.904
"DLX3"	36.72815	23.64568	21.6865	44.21228
"RB1"	65.92937	18.93268	193.1254	252.3894
"NPHP3"	243.142	225.5659	482.8615	438.7685
"ATP5A1"	23798	18249.56	16175.06	15227.5
"HLA-DPB1"	38.49616	51.60495	35.15442	57.37091
"ABCB10"	140.6833	156.0579	506.4245	473.1445
"IFI35"	2426.874	2604.786	1021.363	1101.039
"GOLPH4"	82.73754	109.054	171.4437	339.4815
"ARHGAP1"	7283.091	5151.813	5074.786	8531.09
"MGC10334"	259.7164	292.2564	225.0754	299.5267
"PDE1B"	10.32943	13.46526	9.547226	33.654
"CYBRD1"	3699.946	3211.857	6700.11	4399.198
"SMOC2"	2861.699	2065.423	1961.069	1925.743
"CREB1"	143.8652	139.7916	208.1417	196.5299
"RNF14"	3301.094	3397.88	4083.003	4570.034
"GPD1"	34.95428	54.1948	18.22449	67.65108
"RNUXA"	624.5417	604.6497	1952.543	2011.693
"EDG4"	639.301	586.1353	315.6836	325.1176
"BCKDHB"	248.5821	232.7933	542.5688	485.4969
"MAP4K4"	261.0077	372.5245	605.6651	755.296
"RIF1"	22.94044	18.52371	34.56637	74.56036
"OGT"	1117.901	660.1749	1473.758	1484.24
"GNAI2"	8645.84	7288.542	3400.688	3811.825
"FLJ32447"	7.194318	13.68648	4.790564	25.26278
"THRAP2"	73.8002	81.9095	179.2896	214.271
"ARX"	70.05914	59.23334	18.67613	58.83977
"GAD1"	485.7364	735.3297	207.223	389.4307
"CEBPB"	22424.87	12193.27	14956.4	12863.58
"KCNK2"	15.75929	9.434462	2.885284	36.13247
"KHDRBS3"	2564.864	2064.649	2110.9	1049.183
"ZCCHC17"	1211.246	1695.713	623.0843	718.6723
"C1orf41"	380.8889	484.6093	1270.623	1373.645
"DKFZp761I2123"	220.3152	194.1554	190.9925	318.3051
"C1orf49"	38.36644	28.33913	26.91001	56.49576
"KLHL15"	41.33863	32.31695	20.73688	52.05445
"CCDC15"	0.8592396	7.967065	-5.67289	36.40943
"FLJ10081"	10320.56	6497.246	7802.932	9504.373
"PPM1M"	2757.845	2341.264	1275.206	1219.912
"GDF1"	26.62168	11.86595	9.367206	26.22762
"SQRDL"	1600.26	1951.185	762.863	332.3934
"KIFC3"	215.262	221.0344	102.6852	160.1909
"KIAA0514"	13.88028	13.85269	-0.3772053	37.80441
"NUDT12"	12.86438	16.98498	51.34451	119.5617
"H-plk"	8.717856	-1.816855	39.45559	68.02932
"SERPINA5"	7.598341	20.88102	2.548583	39.96305
"ZFP90"	1538.917	1446.564	1840.076	2433.759
"ANAPC7"	190.8379	238.9659	54.34666	79.80155
"LOC389199"	9.365514	25.34344	-6.916418	30.67075
"SNRPB2"	1590.417	2285.445	2527.012	2730.115
"KRTAP21-2"	-1.990527	2.932482	-0.1954001	22.47437
"FGD6"	60.73077	130.4243	195.2639	497.1722
"NT5C"	4045.47	4172.117	2298.308	2175.998
"FLJ23657"	77.44295	4485.192	85.36299	8828.854
"OR52K2"	13.72205	18.0572	1.561914	42.90949
"WDR40B"	14.93532	9.540224	-3.729139	30.7866
"OASL"	99.82329	92.38268	20.72427	61.86174
"SALL1"	32.72326	22.67981	21.99643	52.35589
"C6orf206"	79.07878	97.31725	36.66402	110.7468
"ATAD1"	487.7202	692.4547	1471.198	1494.926
"KIAA1598"	757.3748	718.8283	1882.95	1616.545
"GAGE7B"	-5.886696	7.851334	2.688115	27.35144
"GRHPR"	2039.695	3455.562	1020.922	837.3614
"IFNA10"	-5.128064	4.816371	-8.746346	15.68265
"CNTN1"	30.44649	26.58398	43.49786	62.38717
"SLC5A4"	9.752482	26.16429	1.922021	31.99314
"ENPP6"	-0.6098856	11.04812	2.525845	21.0985
"TASP1"	110.8054	162.2479	119.8721	129.9603
"PSMB2"	5956.285	4983.699	3118.582	3054.354
"FLT3LG"	48.93201	64.62323	27.68158	61.67863
"WASL"	998.6387	1011.446	3117.062	2881.973
"ARHGAP5"	33.58354	36.04587	44.99851	84.08163
"SULT1A3"	248.9093	317.2261	97.36621	110.9185
"PRH2"	3.163488	14.80911	4.466527	29.12154
"KCND1"	124.2927	82.86966	63.08211	67.98357
"NPHS1"	40.1819	47.02998	20.39299	45.96451
"NHLH2"	11.00713	7.011876	-0.9954728	34.10275
"SPG20"	105.9383	67.27486	763.9002	1009.037
"TNPO2"	5138.278	3244.743	3413.779	3704.451
"OPN4"	24.77396	14.20131	10.78765	30.70812
"NANOG"	18.11887	28.43601	22.16045	52.60012
"ARID4B"	30.75886	19.48459	110.5469	164.5633
"FKBP6"	31.07766	26.51882	23.61133	50.31815
"GRB2"	905.9882	832.8693	362.315	411.1547
"HNRPH1"	1123.122	860.8557	2134.022	2527.507
"C11orf54"	100.9276	126.6683	156.997	149.4912
"USP40"	35.51986	28.63977	13.35435	37.34921
"PCDH20"	13.91717	2.756724	7.283273	55.31054
"SYNGR3"	95.17316	75.44762	57.91127	87.75421
"SPATA12"	31.91093	20.09528	12.29861	40.25684
"ZIC5"	48.49689	16.29482	3.361299	42.74989
"CAPSL"	11.70466	19.19956	33.12684	65.93682
"C21orf81"	28.26153	21.79792	35.01329	47.23724
"UBAP2L"	2398.184	1414.835	1746.195	1706.653
"PANX2"	1113.337	709.4677	767.1167	745.8651
"COPS5"	4332.141	5626.331	4354.51	4258.511
"PARD6G"	345.7519	252.2223	199.8201	369.653
"BCL10"	183.2662	124.6505	167.4421	177.1025
"PXMP4"	322.7419	239.6167	159.3513	194.2325
"RACGAP1"	56.5924	37.54183	28.38924	41.59351
"MRPL2"	712.2264	747.4995	273.7146	320.9004
"CXorf50"	14.50954	2.652236	1.440835	43.40882
"CCL4L1"	55.56239	83.19283	22.50575	39.54688
"STK32C"	80.83618	61.73089	23.31005	65.036
"UBE2W"	98.77856	55.92716	289.3589	407.6802
"CD320"	327.4171	535.2882	76.53058	131.9213
"AZIN1"	1307.644	1372.214	1906.271	2324.68
"OR10A6"	-9.201968	-2.309891	-5.884158	25.02208
"ZXDB"	216.5451	220.8051	409.3973	359.8799
"MAEA"	4656.711	4180.877	2653.627	2829.034
"LOC130502"	112.7092	147.0815	164.9019	234.5827
"TAF9"	120.865	82.61139	630.3955	602.9444
"RPS6KA4"	839.8035	709.1304	459.7173	429.8488
"LGTN"	1767.822	1318.952	1127.854	1147.422
"FDXR"	4817.936	4258.439	2235.608	2458.18
"OR8B4"	11.48201	10.43204	4.088306	37.73082
"SUCNR1"	7.408932	2.468621	-5.937021	26.31463
"FAM24A"	9.644916	3.327466	-0.2149304	24.15396
"HB-1"	1.771601	24.12165	5.149678	32.61895
"SART1"	45.76191	49.56831	11.08968	65.07071
"TMED2"	5621.134	4533.357	4876.595	5287.239
"C10orf70"	1051.599	2004.58	1765.482	1727.593
"FLJ32214"	10.57623	-2.275203	-6.660446	30.22422
"CRTAM"	19.62951	23.08387	22.53263	52.56541
"ZFYVE19"	654.821	815.1174	354.6884	441.3577
"SFRS11"	412.1711	370.7097	2656.303	3003.273
"CRKL"	6034.698	3696.489	4091.612	5055.751
"LMO2"	87.60134	105.8379	29.34065	54.09879
"HSPC268"	568.6292	890.0482	247.3716	289.4616
"GSTT2"	80.64056	92.30772	37.91945	91.04575
"SOCS2"	180.9255	98.55485	246.7455	131.9766
"FLJ34931"	33.61064	29.23055	12.62333	32.20527
"HES6"	743.3036	1324.595	498.2889	657.2922
"SLC24A6"	1750.092	1389.779	998.5912	1060.847
"FMO2"	51.13125	36.92566	73.86317	96.23858
"USP2"	76.33693	110.6931	75.16333	98.74712
"CEBPG"	154.2339	266.1216	435.2597	955.5804
"CHEK2"	43.12735	53.26808	41.25637	54.02015
"CFL1"	17798.64	13008.14	12174.49	16485.75
"CDK5R1"	190.6455	137.7545	114.7623	285.9061
"NUDT2"	4212.264	4736.196	1999.786	1580.835
"ZNF268"	45.4772	41.33136	41.0228	45.92201
"HYPB"	356.002	330.6501	791.9943	941.2324
"CST9"	33.7113	13.27986	8.751653	37.59448
"COIL"	667.0825	912.3221	741.0118	837.0253
"MPG"	85.94478	292.8929	31.87845	58.89118
